timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length,tcp_flags,payload_size,summary
2026-06-04 13:39:04,UDP,192.168.1.4,224.0.0.251,5353,5353,193,-,179,Ether / IP / UDP / mDNS Qry b'Android-3.local.'
2026-06-04 13:39:04,UDP,192.168.1.4,224.0.0.251,5353,5353,193,-,179,Ether / IP / UDP / mDNS Qry b'Android-3.local.'
2026-06-04 13:39:05,UDP,192.168.1.4,224.0.0.251,5353,5353,193,-,179,Ether / IP / UDP / mDNS Qry b'Android-3.local.'
2026-06-04 13:39:05,UDP,192.168.1.4,224.0.0.251,5353,5353,385,-,371,Ether / IP / UDP / mDNS Ans b'Android-3.local.'
2026-06-04 13:39:05,UDP,192.168.1.4,224.0.0.251,5353,5353,189,-,175,Ether / IP / UDP / mDNS Ans 192.168.1.4
2026-06-04 13:39:07,TCP,192.168.1.5,20.50.80.214,60065,443,54,FA,40,Ether / IP / TCP 192.168.1.5:60065 > 20.50.80.214:https FA
2026-06-04 13:39:07,TCP,20.50.80.214,192.168.1.5,443,60065,54,FA,40,Ether / IP / TCP 20.50.80.214:https > 192.168.1.5:60065 FA
2026-06-04 13:39:07,TCP,192.168.1.5,20.50.80.214,60065,443,54,A,40,Ether / IP / TCP 192.168.1.5:60065 > 20.50.80.214:https A
2026-06-04 13:39:08,UDP,192.168.1.4,224.0.0.251,5353,5353,505,-,491,Ether / IP / UDP / mDNS Ans b'Android-3.local.'
2026-06-04 13:39:12,UDP,192.168.1.5,192.168.1.1,49776,53,70,-,56,Ether / IP / UDP / DNS Qry b'saec.ac.in.'
2026-06-04 13:39:12,UDP,192.168.1.1,192.168.1.5,53,49776,139,-,125,Ether / IP / UDP / DNS Ans
2026-06-04 13:39:12,ICMP,192.168.1.5,145.79.211.142,-,-,74,-,60,Ether / IP / ICMP 192.168.1.5 > 145.79.211.142 echo-request 0 / Raw
2026-06-04 13:39:12,ICMP,145.79.211.142,192.168.1.5,-,-,78,-,64,Ether / Dot1Q / IP / ICMP 145.79.211.142 > 192.168.1.5 echo-reply 0 / Raw
2026-06-04 13:39:13,ICMP,192.168.1.5,145.79.211.142,-,-,74,-,60,Ether / IP / ICMP 192.168.1.5 > 145.79.211.142 echo-request 0 / Raw
2026-06-04 13:39:13,ICMP,145.79.211.142,192.168.1.5,-,-,78,-,64,Ether / Dot1Q / IP / ICMP 145.79.211.142 > 192.168.1.5 echo-reply 0 / Raw
2026-06-04 13:39:14,UDP,192.168.1.4,224.0.0.251,5353,5353,505,-,491,Ether / IP / UDP / mDNS Ans b'Android-3.local.'
2026-06-04 13:39:14,ICMP,192.168.1.5,145.79.211.142,-,-,74,-,60,Ether / IP / ICMP 192.168.1.5 > 145.79.211.142 echo-request 0 / Raw
2026-06-04 13:39:14,ICMP,145.79.211.142,192.168.1.5,-,-,78,-,64,Ether / Dot1Q / IP / ICMP 145.79.211.142 > 192.168.1.5 echo-reply 0 / Raw
2026-06-04 13:39:15,ICMP,192.168.1.5,145.79.211.142,-,-,74,-,60,Ether / IP / ICMP 192.168.1.5 > 145.79.211.142 echo-request 0 / Raw
2026-06-04 13:39:15,ICMP,145.79.211.142,192.168.1.5,-,-,78,-,64,Ether / Dot1Q / IP / ICMP 145.79.211.142 > 192.168.1.5 echo-reply 0 / Raw
2026-06-04 13:39:23,TCP,192.168.1.5,20.190.146.37,54957,443,54,FA,40,Ether / IP / TCP 192.168.1.5:54957 > 20.190.146.37:https FA
2026-06-04 13:39:23,TCP,20.190.146.37,192.168.1.5,443,54957,58,FA,44,Ether / Dot1Q / IP / TCP 20.190.146.37:https > 192.168.1.5:54957 FA
2026-06-04 13:39:23,TCP,192.168.1.5,20.190.146.37,54957,443,54,A,40,Ether / IP / TCP 192.168.1.5:54957 > 20.190.146.37:https A
2026-06-04 13:39:23,UDP,192.168.1.4,224.0.0.251,5353,5353,505,-,491,Ether / IP / UDP / mDNS Ans b'Android-3.local.'
2026-06-04 13:39:26,TCP,192.168.1.5,13.69.239.73,54825,443,66,S,52,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https S
2026-06-04 13:39:26,TCP,13.69.239.73,192.168.1.5,443,54825,66,SA,52,Ether / IP / TCP 13.69.239.73:https > 192.168.1.5:54825 SA
2026-06-04 13:39:26,TCP,192.168.1.5,13.69.239.73,54825,443,54,A,40,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https A
2026-06-04 13:39:26,TCP,192.168.1.5,13.69.239.73,54825,443,1304,A,1290,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https A / Raw
2026-06-04 13:39:26,TCP,192.168.1.5,13.69.239.73,54825,443,641,PA,627,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https PA / Raw
2026-06-04 13:39:27,TCP,13.69.239.73,192.168.1.5,443,54825,54,A,40,Ether / IP / TCP 13.69.239.73:https > 192.168.1.5:54825 A
2026-06-04 13:39:27,TCP,13.69.239.73,192.168.1.5,443,54825,153,PA,139,Ether / IP / TCP 13.69.239.73:https > 192.168.1.5:54825 PA / Raw
2026-06-04 13:39:27,TCP,192.168.1.5,13.69.239.73,54825,443,737,PA,723,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https PA / Raw
2026-06-04 13:39:27,TCP,13.69.239.73,192.168.1.5,443,54825,1304,A,1290,Ether / IP / TCP 13.69.239.73:https > 192.168.1.5:54825 A / Raw
2026-06-04 13:39:27,TCP,192.168.1.5,13.69.239.73,54825,443,66,A,52,Ether / IP / TCP 192.168.1.5:54825 > 13.69.239.73:https A
